model_label,segment_type,segment_value,count,r2,mae,rmse,mape,mdape
XGBoost_log1p,UnifiedSchoolDistrict,Coachella Valley Unified,64.0,0.6676615401954269,197324.31625,567262.9533519386,13.833242471751849,9.991114859437747
XGBoost_log1p,UnifiedSchoolDistrict,Coast Unified,18.0,0.5166208755158999,399432.63999999996,654025.9682530172,21.157543333728366,15.218731161886248
XGBoost_log1p,UnifiedSchoolDistrict,Colton Joint Unified,32.0,0.6186637577822323,43706.8146875,64333.29580181651,7.900497298101584,6.550367446393759
XGBoost_log1p,UnifiedSchoolDistrict,Compton Unified,39.0,0.5858099550573784,67821.56205128203,89194.08461807956,11.20001828604933,8.558999999999994
XGBoost_log1p,UnifiedSchoolDistrict,Conejo Valley Unified,100.0,0.9047280419830637,197834.2345,346402.98589850875,12.469174809194136,9.875465724815726
XGBoost_log1p,UnifiedSchoolDistrict,Corona-Norco Unified,178.0,0.866346578922965,67976.23095505618,113726.63384410938,6.872647737100091,4.938567856299251
XGBoost_log1p,UnifiedSchoolDistrict,Coronado Unified,11.0,0.42976113692537554,671581.4090909091,871660.9877280152,16.335013444082406,16.483994666064604
XGBoost_log1p,UnifiedSchoolDistrict,Covina-Valley Unified,23.0,0.8611710123751074,83864.12043478261,104102.31026027343,8.524718335595443,8.436535802469129
XGBoost_log1p,UnifiedSchoolDistrict,Desert Sands Unified,212.0,0.8980440799043146,115233.92179245282,220634.9609381197,12.026840242725434,8.035236348551342
XGBoost_log1p,UnifiedSchoolDistrict,Downey Unified,23.0,0.8974488121481592,69669.5252173913,85193.15503108493,6.872377115401617,6.912347826086954
XGBoost_log1p,UnifiedSchoolDistrict,Dublin Unified,33.0,0.9200600143061184,95678.4472727273,122225.4671641188,6.23261107950927,4.852418972332023
XGBoost_log1p,UnifiedSchoolDistrict,El Rancho Unified,16.0,-0.023800572251486685,73114.28062500001,87615.02555615608,10.31862157051323,9.681000463392031
XGBoost_log1p,UnifiedSchoolDistrict,El Tejon Unified,12.0,-0.21751089730794027,105462.28083333334,165823.48604413844,26.51655704850116,20.740394308488877
XGBoost_log1p,UnifiedSchoolDistrict,Fairfield-Suisun Unified,13.0,0.8655951819206056,38878.24692307692,50371.738938668845,6.5030507478465704,4.621206956521729
XGBoost_log1p,UnifiedSchoolDistrict,Fontana Unified,55.0,0.8427421884906807,34346.76945454545,48057.843196759684,5.50667576878882,3.8014385542168605
XGBoost_log1p,UnifiedSchoolDistrict,Fremont Unified,61.0,0.880977736411744,224895.69344262287,344797.41773302876,10.199708420081045,8.896958620689649
XGBoost_log1p,UnifiedSchoolDistrict,Garden Grove Unified,58.0,0.549440196667343,117079.94603448278,140976.44128107195,10.384747442046853,9.835367772999184
XGBoost_log1p,UnifiedSchoolDistrict,Gilroy Unified,22.0,0.8331021895223819,114795.56909090908,165464.9555929988,8.681239939811054,7.176371327594648
XGBoost_log1p,UnifiedSchoolDistrict,Glendale Unified,62.0,0.8455058293655313,168533.10677419355,226666.73270274463,10.467016414602623,9.275466127366611
XGBoost_log1p,UnifiedSchoolDistrict,Glendora Unified,19.0,0.861513001149885,106288.22421052631,132696.57146671988,8.594769992504927,7.601946808510643
XGBoost_log1p,UnifiedSchoolDistrict,Hacienda la Puente Unified,40.0,0.7753103104635599,98226.96349999998,140738.21776790242,9.250691219390077,6.945959748584747
XGBoost_log1p,UnifiedSchoolDistrict,Hayward Unified,44.0,0.9287113890148228,97130.75886363635,153053.32639073505,7.462459426157495,5.436259280898881
XGBoost_log1p,UnifiedSchoolDistrict,Hemet Unified,153.0,0.7164177269572405,53369.66215686274,126790.68657629644,9.711621223751294,4.867544018058685
XGBoost_log1p,UnifiedSchoolDistrict,Hesperia Unified,88.0,0.9005348238835288,36909.241136363635,53914.60269520282,7.594985938417107,5.285229576436731
XGBoost_log1p,UnifiedSchoolDistrict,Inglewood Unified,12.0,0.9324878941441477,76957.83,102121.31742512628,7.4985534609050335,5.646599046529361
XGBoost_log1p,UnifiedSchoolDistrict,Irvine Unified,61.0,0.8945522359455863,199925.95245901638,259357.94445834105,8.833071581560596,6.588212499999995
XGBoost_log1p,UnifiedSchoolDistrict,Jurupa Unified,46.0,0.8274416420779154,52709.806521739134,72360.5787680254,8.344497220839735,6.007943006976248
XGBoost_log1p,UnifiedSchoolDistrict,Kelseyville Unified,10.0,0.7435777101134329,94164.178,143665.9118834892,15.120646874183297,13.461289353503638
